aX,aY,aZ,gX,gY,gZ
-0.021,-0.823,-0.524,-1.892,-5.493,4.028
-0.032,-0.790,-0.555,1.038,-0.732,2.686
-0.028,-0.789,-0.612,8.728,4.028,1.892
-0.025,-0.803,-0.629,10.559,4.944,1.831
-0.022,-0.798,-0.657,8.423,3.418,1.404
-0.026,-0.786,-0.663,6.287,1.404,1.526
-0.028,-0.766,-0.664,4.395,-0.610,1.648
-0.047,-0.749,-0.646,4.150,-4.211,-0.061
-0.052,-0.780,-0.622,5.005,-4.883,-2.930
-0.048,-0.795,-0.628,5.127,-4.211,-3.723
-0.033,-0.820,-0.643,4.761,-4.395,-3.967
-0.029,-0.826,-0.637,3.967,-5.493,-3.540
-0.050,-0.825,-0.611,0.427,-8.728,-2.258
-0.053,-0.820,-0.598,-0.854,-9.216,-1.465
-0.051,-0.810,-0.581,0.244,-7.935,-0.549
-0.038,-0.814,-0.591,3.479,-6.348,1.343
-0.029,-0.814,-0.588,3.662,-5.798,1.831
-0.033,-0.810,-0.593,2.258,-7.080,2.747
-0.028,-0.795,-0.593,1.648,-6.531,2.319
-0.016,-0.792,-0.599,1.648,-4.761,2.319
-0.006,-0.803,-0.605,2.563,-4.639,2.014
0.003,-0.820,-0.622,1.953,-6.348,2.014
0.010,-0.837,-0.641,0.366,-8.240,2.197
0.023,-0.852,-0.638,-1.526,-12.024,3.052
0.021,-0.851,-0.636,-2.502,-13.916,4.089
0.018,-0.830,-0.613,-4.089,-17.883,5.310
0.014,-0.820,-0.604,-4.578,-18.921,5.798
0.002,-0.801,-0.601,-4.211,-19.287,6.958
0.004,-0.800,-0.608,-3.296,-18.616,7.019
0.007,-0.819,-0.605,-1.831,-18.311,6.714
0.001,-0.833,-0.604,-2.136,-18.677,6.836
-0.004,-0.862,-0.601,-2.625,-18.250,7.019
-0.006,-0.884,-0.608,-3.174,-17.273,7.751
0.000,-0.915,-0.613,-3.296,-16.602,8.911
0.025,-0.908,-0.625,-2.441,-15.259,12.268
0.030,-0.902,-0.625,-1.831,-15.747,13.672
0.036,-0.896,-0.618,-0.793,-17.944,16.113
0.044,-0.894,-0.602,0.305,-19.836,18.677
0.049,-0.907,-0.594,0.488,-20.874,19.897
0.044,-0.911,-0.593,-2.747,-22.766,21.545
0.048,-0.911,-0.575,-4.333,-22.888,21.912
0.052,-0.911,-0.556,-6.348,-23.499,23.010
0.062,-0.914,-0.554,-7.507,-23.315,23.804
0.081,-0.905,-0.549,-9.094,-21.545,25.452
0.082,-0.902,-0.551,-8.362,-20.752,26.550
0.092,-0.901,-0.552,-5.127,-19.043,29.907
0.103,-0.893,-0.545,-3.540,-18.066,32.227
0.125,-0.866,-0.542,-2.319,-16.724,35.889
0.134,-0.848,-0.536,-3.418,-16.724,36.865
0.144,-0.830,-0.536,-5.920,-17.883,36.377
0.150,-0.830,-0.538,-7.507,-18.738,35.828
0.156,-0.832,-0.532,-11.169,-22.217,35.645
0.160,-0.840,-0.516,-12.878,-25.879,37.170
0.156,-0.845,-0.504,-15.259,-27.222,37.781
0.171,-0.846,-0.498,-22.644,-28.442,39.246
0.201,-0.834,-0.491,-25.635,-28.748,40.833
0.259,-0.830,-0.509,-24.475,-31.128,46.448
0.267,-0.837,-0.520,-21.362,-34.607,51.575
0.267,-0.822,-0.503,-19.897,-42.786,57.922
0.267,-0.812,-0.481,-20.935,-45.593,57.068
0.265,-0.814,-0.433,-25.391,-45.227,51.453
0.273,-0.813,-0.417,-26.672,-42.725,49.194
0.307,-0.747,-0.416,-21.423,-34.668,49.316
0.326,-0.710,-0.430,-14.709,-29.602,49.011
0.359,-0.713,-0.462,-2.869,-23.499,43.457
0.374,-0.759,-0.475,0.061,-22.522,39.429
0.396,-0.803,-0.489,-2.747,-25.269,34.912
0.400,-0.794,-0.477,-6.042,-27.100,33.142
0.405,-0.754,-0.452,-12.024,-28.625,30.457
0.405,-0.756,-0.423,-13.611,-29.053,23.376
0.408,-0.761,-0.418,-13.550,-28.076,20.630
0.409,-0.710,-0.416,-13.123,-23.804,19.958
0.407,-0.686,-0.410,-11.414,-21.362,20.142
0.407,-0.693,-0.414,-3.540,-16.113,18.494
0.416,-0.722,-0.418,0.244,-14.404,16.968
0.475,-0.746,-0.411,4.456,-10.315,17.822
0.501,-0.741,-0.419,4.272,-9.277,18.616
0.512,-0.728,-0.409,-1.160,-11.719,17.334
0.508,-0.717,-0.395,-3.784,-11.108,14.404
1.746,0.980,-0.035,-63.293,-18.921,-85.388
1.651,1.095,0.075,-86.853,-36.255,-92.529
1.099,1.247,0.251,-97.229,-71.045,-99.060
0.760,1.270,0.372,-58.044,-65.613,-122.314
0.194,1.232,0.448,-26.184,-43.335,-135.437
-0.107,1.157,0.498,52.612,29.785,-158.020
-0.109,0.841,0.383,96.558,83.069,-168.030
-0.355,-0.259,-0.382,160.156,167.603,-203.491
-0.447,-1.092,-0.770,164.368,184.204,-209.595
-0.683,-1.897,-1.251,151.306,180.786,-205.811
-0.706,-2.471,-1.812,135.437,111.206,-168.518
-0.648,-2.150,-1.595,104.004,22.339,-103.821
-0.993,-1.753,-0.803,92.651,1.709,-101.440
-1.402,-2.161,-0.832,113.159,39.185,-155.273
-1.422,-2.485,-0.935,121.948,77.942,-185.059
-1.349,-3.152,-1.181,95.764,115.845,-185.608
-0.964,-3.591,-1.428,8.362,116.760,-104.797
-0.514,-2.388,-1.557,-23.560,107.117,-39.978
-0.369,-0.712,-1.207,-20.508,75.378,43.152
-0.272,-0.254,-1.000,7.996,48.950,57.068
-0.121,0.020,-0.903,59.448,-6.653,40.649
-0.034,0.035,-0.856,52.124,-12.634,28.687
0.012,-0.004,-0.721,12.024,-0.916,10.681
0.013,-0.093,-0.739,4.517,1.404,-1.831
0.047,-0.324,-0.794,-0.183,3.296,-24.109
0.091,-0.415,-0.833,-6.226,7.629,-27.893
0.149,-0.403,-0.826,-7.019,7.812,-25.879
0.157,-0.445,-0.752,-3.052,-0.793,-20.752
0.146,-0.491,-0.722,1.099,-7.263,-18.921
0.137,-0.620,-0.642,6.897,-10.986,-19.409
0.137,-0.702,-0.616,6.775,-8.911,-24.170
0.128,-0.840,-0.585,1.831,-5.371,-25.330
0.133,-0.898,-0.588,-0.793,-2.991,-24.414
0.149,-0.918,-0.654,-3.052,3.967,-18.372
0.174,-0.873,-0.660,-1.892,6.165,-14.648
0.192,-0.759,-0.620,2.869,4.700,-5.676
0.160,-0.736,-0.612,6.287,4.639,-1.465
0.147,-0.713,-0.624,9.827,7.202,1.160
0.135,-0.708,-0.678,13.062,14.771,1.099
0.127,-0.720,-0.727,12.695,18.433,-0.427
0.130,-0.743,-0.851,12.878,23.254,-3.479
0.142,-0.750,-0.899,13.489,23.193,-4.333
0.157,-0.780,-0.941,10.071,17.029,-4.517
0.151,-0.768,-0.935,5.676,10.254,-3.906
0.112,-0.692,-0.844,-3.113,-3.235,-0.549
0.088,-0.655,-0.784,-5.249,-6.470,0.305
0.052,-0.620,-0.702,-5.432,-6.836,0.305
0.045,-0.622,-0.684,-4.333,-1.465,-2.258
0.049,-0.678,-0.688,-2.930,1.953,-3.479
0.056,-0.689,-0.715,-4.089,7.385,-3.540
