aX,aY,aZ,gX,gY,gZ
0.935,0.220,0.190,15.625,6.897,-7.751
0.933,0.246,0.171,12.878,11.597,-6.165
0.937,0.259,0.153,9.216,12.573,-5.310
0.938,0.242,0.140,5.310,6.409,-3.906
0.963,0.197,0.144,-2.808,1.953,-1.709
0.963,0.189,0.149,-4.395,-1.282,0.977
0.958,0.183,0.167,-4.272,-2.808,5.432
0.937,0.237,0.234,2.441,-1.038,6.409
0.918,0.275,0.243,8.850,2.502,5.554
0.884,0.327,0.229,16.541,8.667,1.648
0.894,0.342,0.233,15.259,9.583,0.244
0.902,0.357,0.234,11.841,9.766,-1.587
0.900,0.332,0.199,3.235,9.338,-4.028
0.917,0.300,0.183,-1.709,7.935,-4.089
0.939,0.248,0.190,-4.700,1.221,-2.441
0.921,0.227,0.189,-4.150,-0.427,-0.244
0.949,0.250,0.171,-2.075,0.061,1.343
0.941,0.254,0.169,2.258,-0.366,0.793
0.942,0.238,0.142,4.333,2.014,3.601
0.939,0.249,0.151,2.747,0.244,4.395
0.937,0.285,0.195,1.404,-3.052,4.883
0.919,0.292,0.192,2.075,-2.991,3.418
0.906,0.291,0.175,4.517,-3.174,0.244
0.895,0.297,0.177,4.089,-2.991,-0.122
0.893,0.302,0.182,2.075,-3.052,-1.465
0.897,0.305,0.184,0.977,-3.235,-2.258
0.905,0.301,0.216,-1.648,-4.211,-2.075
0.928,0.290,0.202,-2.380,-4.761,-2.380
0.933,0.278,0.204,-2.441,-5.615,-3.662
0.937,0.259,0.188,-3.296,-5.981,-3.235
0.942,0.222,0.188,-2.869,-8.545,-0.244
0.944,0.231,0.203,-1.709,-8.911,2.563
0.924,0.282,0.248,5.371,-5.920,4.333
0.914,0.300,0.248,8.972,-3.357,2.563
0.890,0.339,0.240,9.033,1.648,0.488
0.885,0.348,0.239,6.531,2.625,-0.244
0.889,0.326,0.208,1.343,2.014,-3.113
0.891,0.308,0.195,-1.587,1.038,-3.479
0.901,0.297,0.201,-4.089,-1.770,-3.174
0.910,0.295,0.206,-3.723,-2.258,-3.845
0.916,0.285,0.198,-0.854,-1.770,-4.883
0.930,0.266,0.190,-0.488,-1.282,-4.944
0.944,0.244,0.186,0.916,-1.648,-4.333
0.942,0.241,0.185,1.465,-1.343,-3.601
0.934,0.249,0.190,2.625,-0.977,-1.465
0.928,0.256,0.194,2.930,-0.854,-0.671
0.908,0.281,0.213,2.075,-0.427,0.671
0.911,0.288,0.228,1.892,-0.061,0.916
0.918,0.298,0.232,1.160,0.732,-0.854
0.923,0.287,0.224,0.610,1.282,-1.648
0.906,0.274,0.202,0.183,1.526,-1.587
0.903,0.283,0.211,-0.244,1.404,-1.587
0.899,0.287,0.211,1.282,1.404,-2.686
0.885,0.307,0.220,1.221,1.831,-3.113
0.884,0.318,0.220,1.099,2.625,-3.601
0.898,0.307,0.196,-0.122,2.747,-5.493
0.926,0.269,0.169,-1.343,1.770,-6.531
0.966,0.185,0.124,-4.150,-2.014,-5.310
0.980,0.166,0.130,-4.517,-3.540,-3.174
0.967,0.196,0.168,-1.038,-4.456,1.221
0.953,0.227,0.192,2.930,-3.113,1.892
0.926,0.286,0.217,7.874,1.343,0.427
0.914,0.302,0.222,7.874,2.563,-0.244
0.904,0.316,0.232,4.089,2.441,-0.916
0.894,0.323,0.239,1.953,1.831,-1.648
0.905,0.303,0.227,0.732,-0.549,-4.089
0.903,0.266,0.208,-1.648,-1.526,-4.028
0.903,0.268,0.213,-2.319,-1.831,-3.723
0.903,0.274,0.218,-0.488,-0.549,-4.822
0.905,0.277,0.218,0.610,0.488,-5.981
0.910,0.281,0.209,0.854,2.686,-7.812
0.911,0.278,0.205,0.122,2.808,-8.057
0.917,0.281,0.199,-1.953,2.869,-8.362
1.089,-1.223,-0.448,54.443,-92.346,192.566
0.947,-1.066,-0.586,54.504,-96.985,217.102
0.651,-0.707,-0.544,42.786,-101.685,240.723
0.272,0.005,-0.133,36.133,-90.698,265.808
0.204,0.274,0.090,47.485,-79.163,258.423
0.126,0.670,0.437,83.740,-57.129,216.675
0.179,0.791,0.538,96.191,-39.368,187.378
0.372,0.729,0.558,109.009,-4.578,122.559
0.421,0.599,0.447,112.671,0.122,101.257
0.339,0.505,0.231,99.487,-4.822,104.309
0.273,0.554,0.245,84.473,-10.376,116.516
0.276,0.709,0.353,78.918,-22.888,126.099
0.297,0.773,0.370,87.585,-21.729,115.173
0.294,0.768,0.403,102.112,-22.461,85.632
0.344,0.850,0.492,117.126,-21.790,73.181
0.369,0.928,0.528,109.192,-16.968,58.899
0.420,1.065,0.544,73.303,-8.789,32.288
0.438,1.066,0.492,54.688,-6.470,21.484
0.508,0.876,0.248,19.592,-5.127,6.775
0.563,0.711,-0.011,-6.409,-14.343,2.747
0.716,0.405,-0.106,-18.982,-22.034,2.747
0.864,0.238,-0.116,-35.950,-34.851,4.456
0.913,0.206,-0.084,-35.950,-37.415,4.150
0.968,0.219,0.007,-22.766,-30.090,-1.038
1.006,0.174,0.019,-11.658,-23.926,-5.005
1.067,0.102,0.037,7.874,-19.592,-5.310
1.047,0.119,0.076,12.878,-15.991,-3.845
1.050,0.198,0.202,20.203,-6.165,-1.587
1.044,0.225,0.242,22.827,-2.380,-1.282
1.037,0.237,0.250,24.414,2.380,3.052
1.005,0.240,0.243,23.132,2.869,7.935
0.958,0.284,0.266,20.447,3.052,12.451
0.889,0.369,0.304,18.921,4.944,12.573
0.878,0.398,0.321,18.188,5.859,9.399
0.865,0.438,0.285,12.207,8.667,2.014
0.885,0.398,0.219,6.836,8.484,-2.319
0.909,0.306,0.123,-15.076,-1.770,-4.272
1.004,0.123,0.023,-11.902,-7.629,-1.160
1.017,0.104,0.021,-13.733,-12.512,3.601
0.953,0.211,0.090,-6.714,-10.254,10.376
0.917,0.278,0.131,-0.488,-9.033,7.446
0.882,0.387,0.162,8.972,1.587,1.709
0.864,0.411,0.161,8.362,3.784,-0.366
0.885,0.372,0.142,-0.305,0.977,-5.554
0.904,0.319,0.137,-4.700,-2.197,-7.263
0.946,0.234,0.145,-9.827,-6.592,-6.714
0.957,0.195,0.145,-9.155,-7.812,-5.676
0.981,0.176,0.149,-4.089,-6.531,-3.906
0.980,0.196,0.165,-0.916,-4.517,-3.113
0.953,0.248,0.170,7.324,1.953,-2.930
0.936,0.292,0.170,9.583,4.517,-3.174
0.926,0.297,0.141,7.996,6.653,-4.700
0.916,0.289,0.121,4.761,4.822,-4.578
0.947,0.228,0.101,-3.601,-0.183,-3.113
0.965,0.198,0.099,-4.517,-3.479,-2.014
0.966,0.200,0.128,-4.028,-5.493,1.587
0.956,0.214,0.134,-1.221,-4.089,2.808
0.919,0.270,0.142,5.920,-0.244,2.075
0.917,0.292,0.153,7.263,2.197,1.465
0.907,0.326,0.168,8.606,5.371,-0.610
0.916,0.310,0.143,7.874,5.554,-2.625
0.915,0.299,0.118,-0.793,1.953,-3.296
0.937,0.267,0.114,-4.333,-1.038,-2.930
0.948,0.212,0.109,-4.822,-4.944,-1.648
0.960,0.196,0.124,-4.517,-5.127,0.793
0.952,0.235,0.154,-3.052,-4.272,2.441
0.939,0.261,0.150,5.310,-0.549,0.488
0.929,0.272,0.134,6.958,1.038,-0.183
0.907,0.323,0.136,2.930,2.686,0.427
0.911,0.318,0.135,0.854,1.648,-0.732
0.925,0.274,0.144,-2.686,-2.136,-2.258
0.932,0.275,0.156,-4.028,-2.502,-1.892
0.943,0.272,0.164,-4.150,-2.502,-2.380
0.967,0.215,0.134,-1.221,-2.075,-4.089
0.969,0.200,0.119,-0.427,-1.160,-4.028
0.963,0.229,0.125,0.488,0.488,-2.991
0.960,0.229,0.119,1.953,1.282,-3.174
0.945,0.235,0.098,2.014,0.549,-1.770
0.939,0.254,0.116,0.549,-0.061,-0.122
0.931,0.262,0.126,0.488,-1.709,0.061
0.942,0.243,0.138,1.770,-2.075,-1.953
0.943,0.249,0.144,1.770,-2.441,-1.221
0.934,0.270,0.157,1.770,-1.465,-0.916
0.929,0.272,0.153,1.709,-0.244,-1.953
0.920,0.282,0.151,-0.122,1.099,-2.808
0.922,0.280,0.157,-1.526,0.916,-3.113
0.919,0.285,0.170,-2.563,1.709,-3.784
0.926,0.282,0.175,-2.747,2.930,-4.578
0.934,0.264,0.151,-2.258,3.784,-5.615
0.927,0.261,0.138,-2.991,4.028,-5.127
0.928,0.254,0.127,-3.113,4.211,-5.066
0.923,0.253,0.122,-2.625,3.784,-5.310
0.927,0.278,0.146,-1.709,4.883,-4.883
0.919,0.287,0.147,-0.610,5.920,-5.493
0.916,0.285,0.128,0.000,7.690,-7.141
0.918,0.278,0.116,-1.038,7.568,-7.629
0.917,0.270,0.102,-3.845,5.981,-8.911
0.918,0.263,0.105,-4.395,5.066,-9.583
0.919,0.266,0.124,-5.066,3.967,-10.681
0.934,0.254,0.132,-5.005,3.967,-12.024
0.934,0.238,0.117,-4.395,4.211,-12.939
0.929,0.243,0.120,-4.883,4.822,-12.512
0.921,0.241,0.109,-4.761,5.371,-12.695
0.927,0.250,0.099,-4.456,5.371,-12.268
0.930,0.253,0.101,-4.395,5.127,-13.184
0.931,0.246,0.086,-4.211,4.211,-16.052
0.934,0.222,0.077,-5.005,3.540,-16.602
0.934,0.200,0.075,-6.104,2.441,-15.991
0.947,0.184,0.092,-5.554,1.404,-15.442
0.941,0.184,0.103,-4.578,1.648,-14.343
0.932,0.216,0.124,-2.808,4.150,-14.099
0.925,0.251,0.131,0.000,7.629,-16.541
0.927,0.247,0.126,-0.183,8.789,-18.860
0.930,0.229,0.110,-4.456,9.155,-19.836
0.963,0.193,0.106,-7.446,8.850,-20.203
0.976,0.134,0.080,-8.911,8.118,-19.897
0.971,0.125,0.065,-8.545,8.484,-18.433
0.966,0.126,0.063,-7.629,8.667,-16.785
0.950,0.145,0.071,-5.615,9.277,-15.686
0.632,-1.677,-0.268,0.244,-26.733,142.761
0.636,-1.653,-0.371,-9.460,-31.250,158.508
0.624,-1.552,-0.582,-10.803,-45.349,193.726
0.574,-1.452,-0.539,-4.578,-54.932,207.397
0.606,-1.053,-0.365,23.682,-64.209,218.933
0.577,-0.905,-0.257,46.570,-70.557,218.262
0.516,-0.612,-0.049,72.510,-74.036,204.956
0.508,-0.463,0.009,80.322,-71.045,198.792
